0.125 1
0.25 1
0.375 1
0.5 1
0.625 1
0.75 1
0.875 1
1 1
1.125 1
1.25 1
1.375 1
1.5 1
1.625 1
1.75 1
1.875 1
2 1
2.125 1
2.25 1
2.375 1
2.5 1
2.625 1
2.75 1
2.875 1
3 1
3.125 1
3.25 1
3.375 1
3.5 1
3.625 1
3.75 1
3.875 1
4 1
4.125 1
4.25 1
4.375 1
4.5 1
4.625 1
4.75 1
4.875 1
5 1
5.125 1
5.25 1
5.375 1
5.5 1
5.625 1
5.75 1
5.875 1
6 1
6.125 1
6.25 1
6.375 1
6.5 1
6.625 1
6.75 1
6.875 1
7 1
7.125 1
7.25 1
7.375 1
7.5 1
7.625 1
7.75 1
7.875 1
8 1
8.125 1
8.25 1
8.375 1
8.5 1
8.625 1
8.75 1
8.875 1
9 1
9.125 1
9.25 1
9.375 1
9.5 1
9.625 1
9.75 1
9.875 1
